"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","206.247.99.130","192.168.129.132","DTLSv1.2","615","Application Data"
"2","0.004536786","192.168.129.132","206.247.99.130","DTLSv1.2","99","Application Data"
"3","0.011068949","206.247.99.130","192.168.129.132","DTLSv1.2","615","Application Data"
"4","0.019341770","192.168.129.132","206.247.99.130","UDP","112","41445  >  8803 Len=70"
"5","0.020215227","206.247.99.130","192.168.129.132","DTLSv1.2","647","Application Data"
"6","0.027143205","192.168.129.132","206.247.99.130","DTLSv1.2","99","Application Data"
"7","0.030700756","206.247.99.130","192.168.129.132","DTLSv1.2","863","Application Data"
"8","0.048439713","192.168.129.132","206.247.99.130","TLSv1.2","105","Application Data"
"9","0.048699686","206.247.99.130","192.168.129.132","DTLSv1.2","863","Application Data"
"10","0.048913126","206.247.99.130","192.168.129.132","TCP","60","443  >  50926 [ACK] Seq=1 Ack=52 Win=64240 Len=0"
"11","0.049522326","192.168.129.132","206.247.99.130","UDP","114","41445  >  8803 Len=72"
"12","0.050750185","192.168.129.132","206.247.99.130","DTLSv1.2","99","Application Data"
"13","0.058503758","206.247.99.130","192.168.129.132","DTLSv1.2","719","Application Data"
"14","0.065564815","192.168.129.132","206.247.99.130","UDP","118","41445  >  8803 Len=76"
"15","0.067228199","192.168.129.132","206.247.99.130","UDP","112","41445  >  8803 Len=70"
"16","0.069227328","206.247.99.130","192.168.129.132","DTLSv1.2","719","Application Data"
"17","0.070406649","192.168.129.132","206.247.99.130","DTLSv1.2","99","Application Data"
"18","0.079498695","192.168.129.132","206.247.99.130","DTLSv1.2","171","Application Data"
"19","0.080528119","206.247.99.130","192.168.129.132","DTLSv1.2","719","Application Data"
"20","0.090273868","206.247.99.130","192.168.129.132","DTLSv1.2","719","Application Data"
"21","0.091876058","192.168.129.132","206.247.99.130","DTLSv1.2","99","Application Data"
"22","0.102247293","206.247.99.130","192.168.129.132","DTLSv1.2","719","Application Data"
"23","0.117250963","206.247.99.130","192.168.129.132","DTLSv1.2","751","Application Data"
"24","0.117844721","192.168.129.132","206.247.99.130","UDP","113","41445  >  8803 Len=71"
"25","0.118836990","192.168.129.132","206.247.99.130","UDP","119","41445  >  8803 Len=77"
"26","0.119145452","192.168.129.132","206.247.99.130","DTLSv1.2","99","Application Data"
"27","0.129885876","206.247.99.130","192.168.129.132","DTLSv1.2","1315","Application Data"
"28","0.130080753","192.168.129.132","206.247.99.130","UDP","119","41445  >  8803 Len=77"
"29","0.139632495","206.247.99.130","192.168.129.132","DTLSv1.2","603","Application Data"
"30","0.140960841","192.168.129.132","206.247.99.130","DTLSv1.2","99","Application Data"
"31","0.150356939","206.247.99.130","192.168.129.132","DTLSv1.2","603","Application Data"
"32","0.150357453","206.247.99.130","192.168.129.132","DTLSv1.2","603","Application Data"
"33","0.152592247","192.168.129.132","206.247.99.130","DTLSv1.2","99","Application Data"
"34","0.162722997","206.247.99.130","192.168.129.132","DTLSv1.2","603","Application Data"
"35","0.168092356","192.168.129.132","206.247.99.130","UDP","120","41445  >  8803 Len=78"
"36","0.168610839","192.168.129.132","206.247.99.130","STUN","206","Binding Request user: B64A02FD-4E77-9D10-D909-B7C95B0EE7B8:C446C785-D61C-79DE-F690-5A70E3B6D39F"
"37","0.169899094","192.168.129.132","206.247.99.130","UDP","118","41445  >  8803 Len=76"
"38","0.172032632","206.247.99.130","192.168.129.132","DTLSv1.2","603","Application Data"
"39","0.173579759","192.168.129.132","206.247.99.130","DTLSv1.2","99","Application Data"
"40","0.179145972","170.114.11.83","192.168.129.132","TLSv1.2","78","Application Data"
"41","0.179194743","192.168.129.132","170.114.11.83","TCP","54","56054  >  443 [ACK] Seq=1 Ack=25 Win=65535 Len=0"
"42","0.179627082","192.168.129.132","170.114.11.83","TLSv1.2","82","Application Data"
"43","0.180132763","170.114.11.83","192.168.129.132","TCP","60","443  >  56054 [ACK] Seq=25 Ack=29 Win=64240 Len=0"
"44","0.180671582","192.168.129.132","206.247.99.130","UDP","118","41445  >  8803 Len=76"
"45","0.183413588","206.247.99.130","192.168.129.132","TLSv1.2","101","Application Data"
"46","0.183414125","206.247.99.130","192.168.129.132","DTLSv1.2","635","Application Data"
"47","0.187583440","192.168.129.132","206.247.99.130","TLSv1.2","105","Application Data"
"48","0.187741955","206.247.99.130","192.168.129.132","TLSv1.2","101","Application Data"
"49","0.188121745","206.247.99.130","192.168.129.132","TCP","60","443  >  50926 [ACK] Seq=95 Ack=103 Win=64240 Len=0"
"50","0.193694815","206.247.99.130","192.168.129.132","DTLSv1.2","859","Application Data"
"51","0.207951474","192.168.129.132","206.247.99.130","DTLSv1.2","99","Application Data"
"52","0.212089371","206.247.99.130","192.168.129.132","DTLSv1.2","859","Application Data"
"53","0.224920010","206.247.99.130","192.168.129.132","DTLSv1.2","99","Application Data"
"54","0.227283743","192.168.129.132","206.247.99.130","UDP","120","41445  >  8803 Len=78"
"55","0.227580762","192.168.129.132","206.247.99.130","DTLSv1.2","99","Application Data"
"56","0.228342582","192.168.129.132","206.247.99.130","TCP","54","50926  >  443 [ACK] Seq=103 Ack=95 Win=65535 Len=0"
"57","0.230936590","192.168.129.132","206.247.99.130","STUN","158","Binding Request user: cVRuSQIfQQMisSpq+100:YUzB"
"58","0.234854733","192.168.129.132","206.247.99.130","UDP","113","41445  >  8803 Len=71"
"59","0.236516969","206.247.99.130","192.168.129.132","DTLSv1.2","635","Application Data"
"60","0.242482315","206.247.99.130","192.168.129.132","DTLSv1.2","635","Application Data"
"61","0.243286103","192.168.129.132","206.247.99.130","DTLSv1.2","99","Application Data"
"62","0.252771293","206.247.99.130","192.168.129.132","DTLSv1.2","635","Application Data"
"63","0.262626580","206.247.99.130","192.168.129.132","DTLSv1.2","631","Application Data"
"64","0.263534729","192.168.129.132","206.247.99.130","DTLSv1.2","99","Application Data"
"65","0.272892918","192.168.129.132","206.247.99.130","UDP","115","41445  >  8803 Len=73"
"66","0.273614077","192.168.129.132","206.247.99.130","UDP","111","41445  >  8803 Len=69"
"67","0.274955988","206.247.99.130","192.168.129.132","DTLSv1.2","631","Application Data"
"68","0.284924879","206.247.99.130","192.168.129.132","DTLSv1.2","663","Application Data"
"69","0.285881103","192.168.129.132","206.247.99.130","DTLSv1.2","99","Application Data"
"70","0.286727843","192.168.129.132","206.247.99.130","UDP","156","41445  >  8803 Len=114"
"71","0.298161208","206.247.99.130","192.168.129.132","DTLSv1.2","815","Application Data"
"72","0.304635380","206.247.99.130","192.168.129.132","DTLSv1.2","815","Application Data"
"73","0.310865001","192.168.129.132","206.247.99.130","DTLSv1.2","99","Application Data"
"74","0.316480145","206.247.99.130","192.168.129.132","STUN","106","Binding Success Response XOR-MAPPED-ADDRESS: 93.172.218.194:8466"
"75","0.320948430","192.168.129.132","206.247.99.130","TLSv1.2","168","Application Data"
"76","0.321519746","206.247.99.130","192.168.129.132","TCP","60","443  >  52198 [ACK] Seq=1 Ack=115 Win=64240 Len=0"
"77","0.327998427","206.247.99.130","192.168.129.132","DTLSv1.2","623","Application Data"
"78","0.336889610","192.168.129.132","206.247.99.130","UDP","179","41445  >  8803 Len=137"
"79","0.338164949","206.247.99.130","192.168.129.132","DTLSv1.2","619","Application Data"
"80","0.339060750","192.168.129.132","206.247.99.130","DTLSv1.2","99","Application Data"
"81","0.341558415","192.168.129.132","206.247.99.130","UDP","165","41445  >  8803 Len=123"
"82","0.349390611","206.247.99.130","192.168.129.132","DTLSv1.2","619","Application Data"
"83","0.363647336","206.247.99.130","192.168.129.132","DTLSv1.2","619","Application Data"
"84","0.365165514","192.168.129.132","206.247.99.130","DTLSv1.2","99","Application Data"
"85","0.371450128","192.168.129.132","206.247.99.130","TLSv1.2","384","Application Data"
"86","0.371879210","206.247.99.130","192.168.129.132","TCP","60","443  >  52198 [ACK] Seq=1 Ack=445 Win=64240 Len=0"
"87","0.373375192","206.247.99.130","192.168.129.132","DTLSv1.2","619","Application Data"
"88","0.373375356","206.247.99.130","192.168.129.132","DTLSv1.2","651","Application Data"
"89","0.374544460","192.168.129.132","206.247.99.130","DTLSv1.2","99","Application Data"
"90","0.376729250","206.247.99.130","192.168.129.132","STUN","106","Binding Success Response XOR-MAPPED-ADDRESS: 93.172.218.194:57517"
"91","0.376729600","206.247.99.130","192.168.129.132","STUN","146","Binding Request user: YUzB:cVRuSQIfQQMisSpq+100"
"92","0.377451937","192.168.129.132","206.247.99.130","UDP","158","41445  >  8803 Len=116"
"93","0.378372157","192.168.129.132","206.247.99.130","STUN","106","Binding Success Response XOR-MAPPED-ADDRESS: 206.247.99.130:8803"
"94","0.378624116","192.168.129.132","206.247.99.130","UDP","156","41445  >  8803 Len=114"
"95","0.381073689","192.168.129.132","206.247.99.130","TLSv1.2","392","Application Data"
"96","0.381553286","206.247.99.130","192.168.129.132","TCP","60","443  >  52198 [ACK] Seq=1 Ack=783 Win=64240 Len=0"
"97","0.389760143","192.168.129.132","206.247.99.130","DTLSv1.2","175","Application Data"
"98","0.394879399","192.168.129.132","206.247.99.130","UDP","146","41445  >  8803 Len=104"
"99","0.401526396","206.247.99.130","192.168.129.132","DTLSv1.2","823","Application Data"
"100","0.401526595","206.247.99.130","192.168.129.132","DTLSv1.2","823","Application Data"
"101","0.403569586","192.168.129.132","206.247.99.130","DTLSv1.2","99","Application Data"
"102","0.420366217","206.247.99.130","192.168.129.132","DTLSv1.2","639","Application Data"
"103","0.420366729","206.247.99.130","192.168.129.132","DTLSv1.2","639","Application Data"
"104","0.426708211","192.168.129.132","206.247.99.130","DTLSv1.2","99","Application Data"
"105","0.437103947","192.168.129.132","206.247.99.130","UDP","129","41445  >  8803 Len=87"
"106","0.440005712","206.247.99.130","192.168.129.132","DTLSv1.2","639","Application Data"
"107","0.440006216","206.247.99.130","192.168.129.132","DTLSv1.2","639","Application Data"
"108","0.441481678","192.168.129.132","206.247.99.130","DTLSv1.2","99","Application Data"
"109","0.442064825","192.168.129.132","206.247.99.130","UDP","123","41445  >  8803 Len=81"
"110","0.455336389","206.247.99.130","192.168.129.132","DTLSv1.2","671","Application Data"
"111","0.455336773","206.247.99.130","192.168.129.132","DTLSv1.2","639","Application Data"
"112","0.457070153","192.168.129.132","206.247.99.130","DTLSv1.2","103","Application Data"
"113","0.457948617","192.168.129.132","206.247.99.130","UDP","114","41445  >  8803 Len=72"
"114","0.458444133","192.168.129.132","206.247.99.130","UDP","117","41445  >  8803 Len=75"
"115","0.488039535","206.247.99.130","192.168.129.132","DTLSv1.2","891","Application Data"
"116","0.489359344","192.168.129.132","206.247.99.130","DTLSv1.2","103","Application Data"
"117","0.496201432","192.168.129.132","206.247.99.130","UDP","144","41445  >  8803 Len=102"
"118","0.496569943","192.168.129.132","206.247.99.130","UDP","119","41445  >  8803 Len=77"
"119","0.498522509","206.247.99.130","192.168.129.132","DTLSv1.2","679","Application Data"
"120","0.499746426","192.168.129.132","206.247.99.130","DTLSv1.2","103","Application Data"
"121","0.510711748","206.247.99.130","192.168.129.132","DTLSv1.2","679","Application Data"
"122","0.515245864","192.168.129.132","206.247.99.130","UDP","114","41445  >  8803 Len=72"
"123","0.524565732","192.168.129.132","206.247.99.130","DTLSv1.2","103","Application Data"
"124","0.524750286","206.247.99.130","192.168.129.132","UDP","108","8803  >  41445 Len=66"
"125","0.536389122","206.247.99.130","192.168.129.132","DTLSv1.2","679","Application Data"
"126","0.537457442","192.168.129.132","206.247.99.130","DTLSv1.2","107","Application Data"
"127","0.548215775","192.168.129.132","206.247.99.130","UDP","124","41445  >  8803 Len=82"
"128","0.561965659","192.168.129.132","206.247.99.130","UDP","122","41445  >  8803 Len=80"
"129","0.566608855","192.168.129.132","206.247.99.130","UDP","122","41445  >  8803 Len=80"
"130","0.583013044","206.247.99.130","192.168.129.132","DTLSv1.2","775","Application Data"
"131","0.584436749","192.168.129.132","206.247.99.130","DTLSv1.2","111","Application Data"
"132","0.593954105","206.247.99.130","192.168.129.132","DTLSv1.2","587","Application Data"
"133","0.595249094","192.168.129.132","206.247.99.130","DTLSv1.2","115","Application Data"
"134","0.601268395","192.168.129.132","206.247.99.130","UDP","120","41445  >  8803 Len=78"
"135","0.615086271","206.247.99.130","192.168.129.132","DTLSv1.2","587","Application Data"
"136","0.618742894","192.168.129.132","206.247.99.130","DTLSv1.2","119","Application Data"
"137","0.622533021","192.168.129.132","206.247.99.130","UDP","112","41445  >  8803 Len=70"
"138","0.627721868","206.247.99.130","192.168.129.132","DTLSv1.2","587","Application Data"
"139","0.629674040","192.168.129.132","206.247.99.130","UDP","115","41445  >  8803 Len=73"
"140","0.630584650","192.168.129.132","206.247.99.130","DTLSv1.2","119","Application Data"
"141","0.655819975","206.247.99.130","192.168.129.132","DTLSv1.2","835","Application Data"
"142","0.657083858","192.168.129.132","206.247.99.130","DTLSv1.2","123","Application Data"
"143","0.658415158","206.247.99.130","192.168.129.132","DTLSv1.2","835","Application Data"
"144","0.659402690","192.168.129.132","206.247.99.130","DTLSv1.2","123","Application Data"
"145","0.668735618","192.168.129.132","206.247.99.130","UDP","117","41445  >  8803 Len=75"
"146","0.670048867","192.168.129.132","206.247.99.130","UDP","117","41445  >  8803 Len=75"
"147","0.672487354","206.247.99.130","192.168.129.132","DTLSv1.2","627","Application Data"
"148","0.673651060","192.168.129.132","206.247.99.130","DTLSv1.2","123","Application Data"
"149","0.679230975","206.247.99.130","192.168.129.132","DTLSv1.2","627","Application Data"
"150","0.680232777","192.168.129.132","206.247.99.130","DTLSv1.2","123","Application Data"
"151","0.681035444","192.168.129.132","206.247.99.130","UDP","115","41445  >  8803 Len=73"
"152","0.687007703","206.247.99.130","192.168.129.132","DTLSv1.2","627","Application Data"
"153","0.687884316","192.168.129.132","206.247.99.130","DTLSv1.2","123","Application Data"
"154","0.695843209","206.247.99.130","192.168.129.132","DTLSv1.2","627","Application Data"
"155","0.700513097","192.168.129.132","206.247.99.130","DTLSv1.2","127","Application Data"
"156","0.721851959","192.168.129.132","206.247.99.130","UDP","122","41445  >  8803 Len=80"
"157","0.725132730","206.247.99.130","192.168.129.132","DTLSv1.2","787","Application Data"
"158","0.726225882","192.168.129.132","206.247.99.130","DTLSv1.2","131","Application Data"
"159","0.734604747","192.168.129.132","206.247.99.130","UDP","123","41445  >  8803 Len=81"
"160","0.766681807","192.168.129.132","206.247.99.130","DTLSv1.2","115","Application Data"
"161","0.767231199","192.168.129.132","206.247.99.130","DTLSv1.2","175","Application Data"
"162","0.775545479","192.168.129.132","206.247.99.130","UDP","112","41445  >  8803 Len=70"
"163","0.776565171","192.168.129.132","206.247.99.130","UDP","118","41445  >  8803 Len=76"
"164","0.783339622","192.168.129.132","34.96.71.22","TCP","54","33800  >  443 [ACK] Seq=1 Ack=1 Win=65535 Len=0"
"165","0.783566735","192.168.129.132","142.250.75.46","TCP","54","33842  >  443 [ACK] Seq=1 Ack=1 Win=58615 Len=0"
"166","0.783629350","192.168.129.132","104.16.187.41","TCP","54","36056  >  443 [ACK] Seq=1 Ack=1 Win=65535 Len=0"
"167","0.783675433","192.168.129.132","35.227.211.136","TCP","54","45456  >  443 [ACK] Seq=1 Ack=1 Win=65535 Len=0"
"168","0.783730261","192.168.129.132","34.104.35.123","TCP","54","58074  >  80 [ACK] Seq=1 Ack=1 Win=65535 Len=0"
"169","0.783787569","192.168.129.132","35.190.80.1","TCP","54","35598  >  443 [ACK] Seq=1 Ack=1 Win=65535 Len=0"
"170","0.783832458","192.168.129.132","104.18.86.42","TCP","54","46104  >  443 [ACK] Seq=1 Ack=1 Win=65535 Len=0"
"171","0.783944637","34.96.71.22","192.168.129.132","TCP","60","[TCP ACKed unseen segment] 443  >  33800 [ACK] Seq=1 Ack=2 Win=64240 Len=0"
"172","0.783944734","142.250.75.46","192.168.129.132","TCP","60","[TCP ACKed unseen segment] 443  >  33842 [ACK] Seq=1 Ack=2 Win=64240 Len=0"
"173","0.783944771","104.16.187.41","192.168.129.132","TCP","60","[TCP ACKed unseen segment] 443  >  36056 [ACK] Seq=1 Ack=2 Win=64240 Len=0"
"174","0.783944807","35.227.211.136","192.168.129.132","TCP","60","[TCP ACKed unseen segment] 443  >  45456 [ACK] Seq=1 Ack=2 Win=64240 Len=0"
"175","0.783944843","34.104.35.123","192.168.129.132","TCP","60","[TCP ACKed unseen segment] 80  >  58074 [ACK] Seq=1 Ack=2 Win=64240 Len=0"
"176","0.783944945","35.190.80.1","192.168.129.132","TCP","60","[TCP ACKed unseen segment] 443  >  35598 [ACK] Seq=1 Ack=2 Win=64240 Len=0"
"177","0.783944982","104.18.86.42","192.168.129.132","TCP","60","[TCP ACKed unseen segment] 443  >  46104 [ACK] Seq=1 Ack=2 Win=64240 Len=0"
"178","0.796459853","192.168.129.132","206.247.99.130","UDP","125","41445  >  8803 Len=83"
"179","0.796794607","192.168.129.132","206.247.99.130","DTLSv1.2","91","Application Data"
"180","0.799145665","206.247.99.130","192.168.129.132","DTLSv1.2","619","Application Data"
"181","0.804036161","192.168.129.132","206.247.99.130","DTLSv1.2","135","Application Data"
"182","0.806434379","206.247.99.130","192.168.129.132","DTLSv1.2","619","Application Data"
"183","0.807099826","192.168.129.132","206.247.99.130","DTLSv1.2","135","Application Data"
"184","0.816458282","206.247.99.130","192.168.129.132","DTLSv1.2","651","Application Data"
"185","0.817286547","192.168.129.132","206.247.99.130","DTLSv1.2","135","Application Data"
"186","0.826499050","206.247.99.130","192.168.129.132","DTLSv1.2","827","Application Data"
"187","0.827484164","192.168.129.132","206.247.99.130","UDP","136","41445  >  8803 Len=94"
"188","0.828002139","192.168.129.132","206.247.99.130","DTLSv1.2","135","Application Data"
"189","0.835394953","206.247.99.130","192.168.129.132","DTLSv1.2","827","Application Data"
"190","0.836694892","192.168.129.132","206.247.99.130","DTLSv1.2","135","Application Data"
"191","0.841097714","192.168.129.132","206.247.99.130","UDP","127","41445  >  8803 Len=85"
"192","0.845569144","206.247.99.130","192.168.129.132","DTLSv1.2","603","Application Data"
"193","0.845569473","206.247.99.130","192.168.129.132","DTLSv1.2","603","Application Data"
"194","0.846357573","192.168.129.132","206.247.99.130","DTLSv1.2","135","Application Data"
"195","0.846615702","192.168.129.132","206.247.99.130","DTLSv1.2","135","Application Data"
"196","0.870019734","206.247.99.130","192.168.129.132","DTLSv1.2","603","Application Data"
"197","0.870019889","206.247.99.130","192.168.129.132","DTLSv1.2","603","Application Data"
"198","0.870020080","206.247.99.130","192.168.129.132","DTLSv1.2","603","Application Data"
"199","0.872414979","192.168.129.132","206.247.99.130","DTLSv1.2","135","Application Data"
"200","0.872919881","192.168.129.132","206.247.99.130","DTLSv1.2","135","Application Data"
"201","0.873203061","192.168.129.132","206.247.99.130","DTLSv1.2","135","Application Data"
"202","0.887648559","206.247.99.130","192.168.129.132","DTLSv1.2","635","Application Data"
"203","0.889635488","192.168.129.132","206.247.99.130","UDP","119","41445  >  8803 Len=77"
"204","0.890005880","192.168.129.132","206.247.99.130","UDP","117","41445  >  8803 Len=75"
"205","0.890752685","192.168.129.132","206.247.99.130","DTLSv1.2","135","Application Data"
"206","0.894147879","192.168.129.132","206.247.99.130","UDP","110","41445  >  8803 Len=68"
"207","0.897509267","206.247.99.130","192.168.129.132","TLSv1.2","101","Application Data"
"208","0.897592408","192.168.129.132","206.247.99.130","TCP","54","36606  >  443 [ACK] Seq=1 Ack=48 Win=60421 Len=0"
"209","0.897791294","192.168.129.132","206.247.99.130","TLSv1.2","105","Application Data"
"210","0.898393104","206.247.99.130","192.168.129.132","TCP","60","443  >  36606 [ACK] Seq=48 Ack=52 Win=64240 Len=0"
"211","0.908506845","192.168.129.132","206.247.99.130","UDP","114","41445  >  8803 Len=72"
"212","0.908527824","206.247.99.130","192.168.129.132","DTLSv1.2","875","Application Data"
"213","0.908528283","206.247.99.130","192.168.129.132","DTLSv1.2","875","Application Data"
"214","0.909465259","192.168.129.132","206.247.99.130","DTLSv1.2","135","Application Data"
"215","0.909708538","192.168.129.132","206.247.99.130","DTLSv1.2","135","Application Data"
"216","0.914867554","206.247.99.130","192.168.129.132","DTLSv1.2","99","Application Data"
"217","0.914867966","206.247.99.130","192.168.129.132","DTLSv1.2","99","Application Data"
"218","0.933705294","206.247.99.130","192.168.129.132","TLSv1.2","93","Application Data"
"219","0.933705794","206.247.99.130","192.168.129.132","DTLSv1.2","663","Application Data"
"220","0.933705833","206.247.99.130","192.168.129.132","DTLSv1.2","103","Application Data"
"221","0.933705868","206.247.99.130","192.168.129.132","DTLSv1.2","663","Application Data"
"222","0.934699205","192.168.129.132","206.247.99.130","DTLSv1.2","135","Application Data"
"223","0.934963233","192.168.129.132","206.247.99.130","TLSv1.2","97","Application Data"
"224","0.935254334","206.247.99.130","192.168.129.132","TCP","60","443  >  36588 [ACK] Seq=40 Ack=44 Win=64240 Len=0"
"225","0.935688633","192.168.129.132","206.247.99.130","DTLSv1.2","103","Application Data"
"226","0.936094750","192.168.129.132","206.247.99.130","DTLSv1.2","135","Application Data"
"227","0.943231102","206.247.99.130","192.168.129.132","DTLSv1.2","663","Application Data"
"228","0.943231322","206.247.99.130","192.168.129.132","DTLSv1.2","99","Application Data"
"229","0.944970587","192.168.129.132","206.247.99.130","DTLSv1.2","135","Application Data"
"230","0.947885516","192.168.129.132","206.247.99.130","UDP","116","41445  >  8803 Len=74"
"231","0.949448243","206.247.99.130","192.168.129.132","DTLSv1.2","663","Application Data"
"232","0.950625265","192.168.129.132","206.247.99.130","DTLSv1.2","135","Application Data"
"233","0.959096184","206.247.99.130","192.168.129.132","DTLSv1.2","663","Application Data"
"234","0.970647330","206.247.99.130","192.168.129.132","DTLSv1.2","691","Application Data"
"235","0.974073626","192.168.129.132","206.247.99.130","DTLSv1.2","135","Application Data"
"236","0.974520732","192.168.129.132","206.247.99.130","DTLSv1.2","135","Application Data"
"237","0.978082088","206.247.99.130","192.168.129.132","DTLSv1.2","691","Application Data"
"238","0.986443895","192.168.129.132","206.247.99.130","UDP","117","41445  >  8803 Len=75"
"239","0.987158424","192.168.129.132","206.247.99.130","UDP","143","41445  >  8803 Len=101"
"240","0.987749657","192.168.129.132","206.247.99.130","DTLSv1.2","135","Application Data"
"241","0.997894442","206.247.99.130","192.168.129.132","DTLSv1.2","1043","Application Data"
"242","0.999181314","192.168.129.132","206.247.99.130","DTLSv1.2","135","Application Data"
"243","1.002402251","206.247.99.130","192.168.129.132","DTLSv1.2","131","Application Data"
"244","1.003487096","192.168.129.132","206.247.99.130","UDP","199","41445  >  8803 Len=157"
"245","1.003722289","192.168.129.132","206.247.99.130","DTLSv1.2","135","Application Data"
"246","1.003781223","206.247.99.130","192.168.129.132","TLSv1.2","158","Application Data, Application Data"
"247","1.014878304","192.168.129.132","206.247.99.130","UDP","200","41445  >  8803 Len=158"
"248","1.014929559","206.247.99.130","192.168.129.132","DTLSv1.2","183","Application Data"
"249","1.015945136","192.168.129.132","206.247.99.130","DTLSv1.2","135","Application Data"
"250","1.018418713","206.247.99.130","192.168.129.132","DTLSv1.2","639","Application Data"
"251","1.018419000","206.247.99.130","192.168.129.132","DTLSv1.2","91","Application Data"
"252","1.019711903","192.168.129.132","206.247.99.130","DTLSv1.2","135","Application Data"
"253","1.024140362","206.247.99.130","192.168.129.132","TLSv1.2","134","Application Data"
"254","1.028796372","192.168.129.132","206.247.99.130","UDP","183","41445  >  8803 Len=141"
"255","1.029153973","206.247.99.130","192.168.129.132","DTLSv1.2","639","Application Data"
"256","1.030365615","192.168.129.132","206.247.99.130","DTLSv1.2","111","Application Data"
"257","1.042193353","206.247.99.130","192.168.129.132","DTLSv1.2","639","Application Data"
"258","1.043150289","192.168.129.132","206.247.99.130","DTLSv1.2","111","Application Data"
"259","1.044388722","192.168.129.132","206.247.99.130","TCP","54","52198  >  443 [ACK] Seq=783 Ack=105 Win=65535 Len=0"
"260","1.049256512","192.168.129.132","206.247.99.130","DTLSv1.2","115","Application Data"
"261","1.052488053","206.247.99.130","192.168.129.132","DTLSv1.2","639","Application Data"
"262","1.053618588","192.168.129.132","206.247.99.130","DTLSv1.2","111","Application Data"
"263","1.064334144","192.168.129.132","206.247.99.130","TCP","54","36606  >  443 [ACK] Seq=52 Ack=128 Win=60341 Len=0"
"264","1.068179738","206.247.99.130","192.168.129.132","DTLSv1.2","639","Application Data"
"265","1.068179966","206.247.99.130","192.168.129.132","TLSv1.2","93","Application Data"
"266","1.069566748","192.168.129.132","206.247.99.130","TLSv1.2","97","Application Data"
"267","1.069893325","206.247.99.130","192.168.129.132","TCP","60","443  >  36584 [ACK] Seq=40 Ack=44 Win=64240 Len=0"
"268","1.070091808","206.247.99.130","192.168.129.132","DTLSv1.2","671","Application Data"
"269","1.070172050","192.168.129.132","206.247.99.130","DTLSv1.2","111","Application Data"
"270","1.070733653","192.168.129.132","206.247.99.130","DTLSv1.2","111","Application Data"
"271","1.074773880","192.168.129.132","206.247.99.130","UDP","214","41445  >  8803 Len=172"
"272","1.078859415","192.168.129.132","206.247.99.130","UDP","212","41445  >  8803 Len=170"
"273","1.081440111","206.247.99.130","192.168.129.132","DTLSv1.2","671","Application Data"
"274","1.081440638","206.247.99.130","192.168.129.132","DTLSv1.2","111","Application Data"
"275","1.086745839","192.168.129.132","206.247.99.130","DTLSv1.2","111","Application Data"
"276","1.087137013","192.168.129.132","206.247.99.130","DTLSv1.2","111","Application Data"
"277","1.087467094","192.168.129.132","206.247.99.130","UDP","194","41445  >  8803 Len=152"
"278","1.091009968","206.247.99.130","192.168.129.132","DTLSv1.2","1015","Application Data"
"279","1.092646507","192.168.129.132","206.247.99.130","DTLSv1.2","111","Application Data"
"280","1.111942407","206.247.99.130","192.168.129.132","DTLSv1.2","1011","Application Data"
"281","1.113369557","192.168.129.132","206.247.99.130","DTLSv1.2","111","Application Data"
"282","1.120655292","192.168.129.132","206.247.99.130","UDP","197","41445  >  8803 Len=155"
"283","1.124643581","206.247.99.130","192.168.129.132","DTLSv1.2","619","Application Data"
"284","1.125611697","192.168.129.132","206.247.99.130","DTLSv1.2","111","Application Data"
"285","1.134295631","206.247.99.130","192.168.129.132","DTLSv1.2","619","Application Data"
"286","1.134406571","192.168.129.132","206.247.99.130","UDP","201","41445  >  8803 Len=159"
"287","1.135325382","192.168.129.132","206.247.99.130","DTLSv1.2","111","Application Data"
"288","1.143002179","206.247.99.130","192.168.129.132","DTLSv1.2","619","Application Data"
"289","1.143002248","206.247.99.130","192.168.129.132","DTLSv1.2","619","Application Data"
"290","1.144258945","192.168.129.132","206.247.99.130","DTLSv1.2","175","Application Data"
"291","1.144708361","192.168.129.132","206.247.99.130","DTLSv1.2","111","Application Data"
"292","1.145052215","192.168.129.132","206.247.99.130","DTLSv1.2","111","Application Data"
"293","1.149547865","192.168.129.132","206.247.99.130","UDP","196","41445  >  8803 Len=154"
"294","1.152540901","192.168.129.132","206.247.99.130","UDP","210","41445  >  8803 Len=168"
"295","1.154152552","206.247.99.130","192.168.129.132","DTLSv1.2","615","Application Data"
"296","1.155191445","192.168.129.132","206.247.99.130","DTLSv1.2","111","Application Data"
"297","1.162356445","206.247.99.130","192.168.129.132","DTLSv1.2","647","Application Data"
"298","1.163418605","192.168.129.132","206.247.99.130","DTLSv1.2","111","Application Data"
"299","1.180860396","206.247.99.130","192.168.129.132","DTLSv1.2","647","Application Data"
"300","1.184776796","192.168.129.132","206.247.99.130","DTLSv1.2","111","Application Data"
"301","1.187052331","206.247.99.130","192.168.129.132","DTLSv1.2","771","Application Data"
"302","1.187971004","192.168.129.132","206.247.99.130","DTLSv1.2","111","Application Data"
"303","1.194032792","206.247.99.130","192.168.129.132","DTLSv1.2","771","Application Data"
"304","1.194907204","206.247.99.130","192.168.129.132","DTLSv1.2","99","Application Data"
"305","1.197955627","192.168.129.132","206.247.99.130","DTLSv1.2","111","Application Data"
